date,bar,delta_target,expiration,dte,spx_open,vol_trigger,iv_atm,year,status,strike,delta_k,delta_kp5,delta_avg,mid_k,mid_kp5,gap,required_move,gap_smooth,required_move_smooth,rel_spread_k,quality_ok,required_move_delta_k_only,iv_k,iv_kp5,native_spacing,underlying_price
2024-02-12,10:00,0.15,2024-03-13,30,5026.83,4945.0,0.1179,2024,ok,4850.0,0.15230000000000002,0.15695000000000003,0.154625,16.25,16.75,0.5,3.2336297493936943,0.5033950617283923,3.255586494605609,0.018461538461538286,True,3.2829940906106363,0.1421,0.1411,10.0,5028.24
2024-02-12,10:00,0.2,2024-03-13,30,5026.83,4945.0,0.1179,2024,ok,4890.0,0.1942,0.20025,0.197225,20.950000000000003,21.650000000000002,0.6999999999999993,3.5492457852706263,0.6989051094890641,3.5436943059402415,0.014319809069212442,True,3.604531410916577,0.135,0.1341,10.0,5028.24
2024-02-12,10:00,0.25,2024-03-13,30,5026.83,4945.0,0.1179,2024,ok,4930.0,0.2484,0.2564,0.2524,27.450000000000003,28.475,1.0249999999999986,4.061014263074479,0.9745293466223641,3.8610512940664186,0.010928961748633904,True,4.126409017713359,0.1285,0.1278,10.0,5028.24
2024-02-12,13:00,0.15,2024-03-13,30,5026.83,4945.0,0.1178,2024,ok,4870.0,0.15380000000000002,0.1584,0.15610000000000002,16.35,16.85,0.5,3.2030749519538753,0.5060354374307727,3.2417388688710616,0.018348623853211052,True,3.2509752925877757,0.1408,0.1398,5.0,5045.86
2024-02-12,13:00,0.2,2024-03-13,30,5026.83,4945.0,0.1178,2024,ok,4910.0,0.19770000000000001,0.20400000000000001,0.20085000000000003,21.450000000000003,22.200000000000003,0.75,3.73412994772218,0.7242961418143936,3.606154552225011,0.051282051282051176,True,3.793626707132018,0.1345,0.13375,10.0,5045.86
2024-02-12,13:00,0.25,2024-03-13,30,5026.83,4945.0,0.1178,2024,ok,4950.0,0.2519,0.25985,0.255875,27.85,28.85,1.0,3.9081582804103565,0.9959876543209891,3.8924773984210614,0.010771992818671479,True,3.969829297340214,0.12760000000000002,0.12680000000000002,10.0,5045.86
2024-02-14,10:00,0.15,2024-03-15,30,4976.4400000000005,4945.0,0.12340000000000001,2024,ok,4785.0,0.14830000000000002,0.15230000000000002,0.15030000000000002,16.9,17.35,0.45000000000000284,2.994011976047923,0.46785714285713453,3.1128219750973685,0.011834319526627177,True,3.0343897505057504,0.154,0.153,5.0,4981.150000000001
2024-02-14,10:00,0.2,2024-03-15,30,4976.4400000000005,4945.0,0.12340000000000001,2024,ok,4840.0,0.202,0.20850000000000002,0.20525000000000002,23.25,24.15,0.8999999999999986,4.384896467722283,0.7107142857143066,3.4626761788760367,0.012903225806451644,True,4.455445544554448,0.1436,0.1431,5.0,4981.150000000001
2024-02-14,10:00,0.25,2024-03-15,30,4976.4400000000005,4945.0,0.12340000000000001,2024,ok,4875.0,0.24810000000000001,0.2541,0.2511,29.25,29.8,0.5500000000000007,2.1903624054161717,0.9170329670329516,3.6520627918476767,0.07179487179487185,True,2.2168480451430903,0.13820000000000002,0.1365,5.0,4981.150000000001
2024-02-14,13:00,0.15,2024-03-15,30,4976.4400000000005,4945.0,0.1237,2024,ok,4770.0,0.14800000000000002,0.1521,0.15005000000000002,17.5,18.0,0.5,3.3322225924691766,0.4442307692307673,2.960551611001448,0.011428571428571389,True,3.378378378378378,0.15990000000000001,0.159,5.0,4974.06
