tradeDate,ticker,original_surface_pass,original_surface_reason,original_selected_pass,ivRank1y,rr25_pct252,call_wing_10_pct252,call_kink_pct252,event_estimate_available,all_original_contract_gates_count,without_delta_band_count,without_absolute_width_count,without_absolute_width_expiry,without_absolute_width_strike,without_absolute_width_delta,without_absolute_width_otm_pct,without_absolute_width_bid,without_absolute_width_ask,without_absolute_width_oi,without_absolute_width_wing_mid_excess_points,without_absolute_width_wing_bid_excess_points,without_delta_band_expiry,without_delta_band_strike,without_delta_band_delta,without_delta_band_otm_pct,without_delta_band_bid,without_delta_band_ask,without_delta_band_oi,without_delta_band_wing_mid_excess_points,without_delta_band_wing_bid_excess_points,all_original_contract_gates_expiry,all_original_contract_gates_strike,all_original_contract_gates_delta,all_original_contract_gates_otm_pct,all_original_contract_gates_bid,all_original_contract_gates_ask,all_original_contract_gates_oi,all_original_contract_gates_wing_mid_excess_points,all_original_contract_gates_wing_bid_excess_points
2026-08-11,FANG,True,Passed original surface,False,53.12,5.9523809523809526,87.6984126984127,87.6984126984127,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12,AMAT,False,near-front earnings flag,False,47.98,0.3968253968253968,91.66666666666667,92.85714285714286,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12,CSCO,False,IVR outside 30–70,False,71.23,1.1904761904761905,92.46031746031746,99.2063492063492,True,0,0,1,2026-08-28,155.0,0.04609540349220404,25.556905629809634,0.27,0.57,32.0,6.470068531405082,1.5415828613411509,,,,,,,,,,,,,,,,,,
2026-08-12,FDX,True,Passed original surface,False,31.88,8.333333333333334,97.22222222222223,73.41269841269842,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12,LRCX,True,Passed original surface,False,56.7,0.3968253968253968,93.65079365079364,77.77777777777777,True,0,0,7,2026-08-21,400.0,0.042826060097039105,22.93318581351036,0.49,0.75,4491.0,3.8119494037680557,0.99590434777167,,,,,,,,,,,,,,,,,,
2026-08-13,AMAT,False,more than 5% below 20-day high,False,50.91,0.0,96.42857142857143,97.22222222222223,True,0,0,10,2026-08-21,680.0,0.03600601821692427,27.321749550629114,1.3,1.67,1595.0,9.65577600399483,7.345786790690512,,,,,,,,,,,,,,,,,,
2026-08-13,CEG,False,IVR outside 30–70,False,5.94,9.523809523809524,92.06349206349206,75.7936507936508,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13,LOW,False,near-front earnings flag,False,57.26,0.3968253968253968,88.0952380952381,98.01587301587301,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13,LRCX,True,Passed original surface,False,57.5,0.3968253968253968,96.82539682539682,79.76190476190476,True,0,0,4,2026-08-21,420.0,0.03446936742779646,24.736420064744145,0.43,0.83,1594.0,12.358053691066207,7.625386655743604,,,,,,,,,,,,,,,,,,
2026-08-13,SMCI,True,Passed original surface,False,63.25,1.5873015873015872,94.84126984126983,80.15873015873017,True,0,14,0,,,,,,,,,,2026-08-21,49.0,0.09259783047432898,24.777183600712995,0.2,0.26,404.0,20.52153143453085,17.301648494493126,,,,,,,,,
2026-08-17,GS,True,Passed original surface,False,37.88,1.5873015873015872,99.2063492063492,86.5079365079365,True,0,0,13,2026-08-21,1125.0,0.04083699441267555,7.05823016092042,0.43,0.71,285.0,2.919496449226772,1.3438843703583614,,,,,,,,,,,,,,,,,,
2026-08-17,LRCX,True,Passed original surface,False,50.23,1.9841269841269842,92.85714285714286,78.96825396825396,True,1,1,8,2026-08-21,400.0,0.0313281814227278,16.733788595108855,0.31,0.37,4888.0,8.327733931093828,7.154726477903961,2026-08-21,400.0,0.0313281814227278,16.733788595108855,0.31,0.37,4888.0,8.327733931093828,7.154726477903961,2026-08-21,400.0,0.0313281814227278,16.733788595108855,0.31,0.37,4888.0,8.327733931093828,7.154726477903961
2026-08-17,MPC,False,IVR outside 30–70,False,94.47,0.0,87.3015873015873,87.6984126984127,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17,PYPL,False,IVR outside 30–70,False,15.85,5.555555555555555,86.11111111111111,86.9047619047619,True,0,4,0,,,,,,,,,,2026-08-21,63.0,0.18465392394486066,4.2873696407879525,0.22,0.27,2103.0,5.5925081291441305,4.09321633464999,,,,,,,,,
2026-08-17,RBLX,False,more than 5% below 20-day high,False,36.16,0.3968253968253968,94.44444444444444,72.61904761904762,True,0,4,0,,,,,,,,,,2026-08-21,40.5,0.1708666601963512,7.541157727031345,0.22,0.25,703.0,4.852766085653792,3.3400945832086526,,,,,,,,,
2026-08-17,SBUX,False,IVR outside 30–70,False,6.81,2.380952380952381,85.71428571428571,80.95238095238095,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17,TTD,False,more than 5% below 20-day high,False,33.85,4.761904761904762,95.63492063492063,80.95238095238095,True,0,1,0,,,,,,,,,,2026-08-28,14.0,0.3483514736158516,4.790419161676662,0.28,0.33,1388.0,3.503236124299103,0.5999914158156483,,,,,,,,,
2026-08-18,GS,False,more than 5% below 20-day high,False,34.58,0.3968253968253968,92.46031746031746,70.63492063492063,True,0,0,6,2026-08-28,1145.0,0.03412576982801313,10.188330622732455,0.75,1.42,48.0,2.827386812269672,0.7649033237641656,,,,,,,,,,,,,,,,,,
2026-08-18,S,False,more than 5% below 20-day high; near-front earnings flag,False,45.02,8.333333333333334,89.68253968253968,95.63492063492063,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18,TOST,False,IVR outside 30–70,False,12.74,2.7777777777777777,90.07936507936508,73.41269841269842,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19,COIN,True,Passed original surface,False,59.16,2.380952380952381,88.88888888888889,70.23809523809524,True,1,1,2,2026-08-28,200.0,0.05014516695949774,25.77034335303734,0.43,0.5,429.0,18.172420121543276,16.88942340186501,2026-08-28,200.0,0.05014516695949774,25.77034335303734,0.43,0.5,429.0,18.172420121543276,16.88942340186501,2026-08-28,200.0,0.05014516695949774,25.77034335303734,0.43,0.5,429.0,18.172420121543276,16.88942340186501
2026-08-19,MRK,False,IVR outside 30–70,False,100.0,0.3968253968253968,98.80952380952381,90.07936507936508,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19,MSTR,True,Passed original surface,True,47.73,0.3968253968253968,92.06349206349206,84.92063492063492,True,2,6,3,2026-08-28,140.0,0.03357470813520596,34.78386444594204,0.24,0.29,762.0,27.885764139286294,26.102669581052428,2026-08-28,140.0,0.03357470813520596,34.78386444594204,0.24,0.29,762.0,27.885764139286294,26.102669581052428,2026-08-28,140.0,0.03357470813520596,34.78386444594204,0.24,0.29,762.0,27.885764139286294,26.102669581052428
2026-08-20,COIN,True,Passed original surface,False,68.49,0.0,98.41269841269842,78.57142857142857,True,1,4,3,2026-08-28,225.0,0.038648511421365446,31.149452086733497,0.29,0.42,189.0,25.424890535097365,22.236997853934003,2026-08-28,220.0,0.050225627646351134,28.235019818139428,0.41,0.5,480.0,23.13418655185686,21.359810814504034,2026-08-28,220.0,0.050225627646351134,28.235019818139428,0.41,0.5,480.0,23.13418655185686,21.359810814504034
2026-08-20,MRK,False,IVR outside 30–70,False,75.9,3.5714285714285716,98.41269841269842,82.14285714285714,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20,MRNA,False,more than 5% below 20-day high,False,58.35,1.1904761904761905,98.41269841269842,98.01587301587301,True,0,1,3,2026-08-28,220.0,0.022661748143602795,69.33497536945814,0.35,0.7,149.0,50.6515264469019,39.809281173499976,2026-08-28,190.0,0.07922633916803155,46.24384236453203,0.94,1.02,30.0,28.27964658822242,26.86242974912978,,,,,,,,,
2026-08-20,MSTR,True,Passed original surface,True,54.85,0.0,96.42857142857143,88.88888888888889,True,2,6,5,2026-08-28,150.0,0.04308134905750613,33.85686239514545,0.32,0.38,2474.0,28.332065544464413,26.563112232055254,2026-08-28,150.0,0.04308134905750613,33.85686239514545,0.32,0.38,2474.0,28.332065544464413,26.563112232055254,2026-08-28,150.0,0.04308134905750613,33.85686239514545,0.32,0.38,2474.0,28.332065544464413,26.563112232055254
2026-08-20,NEM,True,Passed original surface,False,50.83,0.3968253968253968,97.22222222222223,76.19047619047619,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21,MRK,True,Passed original surface,False,67.86,3.9682539682539684,93.65079365079364,73.80952380952381,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21,MRNA,False,more than 5% below 20-day high,False,40.76,9.920634920634921,98.01587301587301,96.82539682539682,True,0,2,5,2026-08-28,220.0,0.04089296025729357,50.8088840142583,0.51,0.82,293.0,41.39094462876292,33.931827938865446,2026-08-28,260.0,0.011071802908868776,78.2286811077598,0.22,0.25,1304.0,61.43692629108879,59.77833726526911,,,,,,,,,
2026-08-21,MSTR,True,Passed original surface,True,55.29,0.3968253968253968,97.22222222222223,79.36507936507937,True,6,16,7,2026-08-28,160.0,0.038284436013965265,34.29578646969951,0.26,0.32,442.0,33.33335716200053,31.17944131021281,2026-08-28,160.0,0.038284436013965265,34.29578646969951,0.26,0.32,442.0,33.33335716200053,31.17944131021281,2026-08-28,160.0,0.038284436013965265,34.29578646969951,0.26,0.32,442.0,33.33335716200053,31.17944131021281
2026-08-21,NEM,True,Passed original surface,False,54.48,2.380952380952381,96.42857142857143,73.01587301587301,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-24,CPNG,True,Passed original surface,False,49.98,8.73015873015873,94.44444444444444,87.6984126984127,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-24,JNJ,True,Passed original surface,False,60.75,4.365079365079365,93.25396825396825,77.77777777777777,True,0,1,0,,,,,,,,,,2026-08-28,282.5,0.09427483124371817,3.5557184750732995,0.26,0.35,119.0,3.798756085676752,2.797435973685747,,,,,,,,,
2026-08-24,MRNA,False,more than 5% below 20-day high,False,37.6,6.349206349206349,97.22222222222223,95.23809523809524,True,1,2,9,2026-08-28,190.0,0.04082172926653439,36.641495864796816,0.35,0.46,536.0,34.47455940883386,30.44544026626226,2026-08-28,195.0,0.031546683919836865,40.237324703344115,0.26,0.36,236.0,37.51364491431062,32.96468219617679,2026-08-28,195.0,0.031546683919836865,40.237324703344115,0.26,0.36,236.0,37.51364491431062,32.96468219617679
2026-08-24,MSTR,True,Passed original surface,True,54.13,1.1904761904761905,94.84126984126983,98.01587301587301,True,7,16,8,2026-08-28,155.0,0.03544676565846313,26.758259731763157,0.22,0.27,2940.0,30.865946851056492,28.587463736219398,2026-08-28,155.0,0.03544676565846313,26.758259731763157,0.22,0.27,2940.0,30.865946851056492,28.587463736219398,2026-08-28,155.0,0.03544676565846313,26.758259731763157,0.22,0.27,2940.0,30.865946851056492,28.587463736219398
2026-08-24,RBLX,False,more than 5% below 20-day high,False,33.71,2.7777777777777777,91.26984126984127,76.98412698412699,True,0,4,0,,,,,,,,,,2026-08-28,41.5,0.1786109488018955,7.4016563146998005,0.21,0.29,184.0,2.6401918520787993,-1.2043775994700412,,,,,,,,,
2026-08-25,ABBV,True,Passed original surface,False,40.77,9.920634920634921,89.28571428571429,79.36507936507937,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,CPNG,True,Passed original surface,False,47.73,8.333333333333334,85.71428571428571,73.01587301587301,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26,TOST,False,IVR outside 30–70,False,14.28,4.365079365079365,87.6984126984127,78.96825396825396,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,ANF,False,IVR outside 30–70,False,25.83,9.920634920634921,95.63492063492063,84.92063492063492,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,AVGO,False,more than 5% below 20-day high; near-front earnings flag,False,35.15,2.7777777777777777,93.65079365079364,97.61904761904762,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,CRDO,False,IVR outside 30–70; more than 5% below 20-day high; near-front earnings flag,False,23.73,7.936507936507937,85.31746031746032,95.63492063492063,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,GAP,True,Passed original surface,False,47.63,5.158730158730159,94.84126984126983,98.80952380952381,True,0,2,0,,,,,,,,,,2026-09-04,23.0,0.32771450081703885,10.47070124879923,0.67,0.75,133.0,3.497559491847957,-0.019859377940689704,,,,,,,,,
2026-08-27,PANW,False,IVR outside 30–70; near-front earnings flag,False,75.02,3.5714285714285716,92.85714285714286,98.80952380952381,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28,AFRM,False,IVR outside 30–70,False,0.0,0.0,94.44444444444444,70.63492063492063,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28,AVGO,False,IVR outside 30–70; more than 5% below 20-day high; near-front earnings flag,False,24.85,3.5714285714285716,86.5079365079365,96.03174603174604,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28,CPNG,True,Passed original surface,False,45.93,0.7936507936507936,100.0,96.42857142857143,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,AVGO,False,IVR outside 30–70; more than 5% below 20-day high; near-front earnings flag,False,27.33,2.380952380952381,92.85714285714286,96.03174603174604,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,HPE,False,more than 5% below 20-day high; near-front earnings flag,False,40.17,8.333333333333334,89.68253968253968,97.22222222222223,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,MSTR,True,Passed original surface,True,40.34,3.5714285714285716,86.11111111111111,73.80952380952381,True,7,28,10,2026-09-04,160.0,0.042562422916518385,20.70006035003018,0.23,0.25,1895.0,21.81830124936408,21.06196646617149,2026-09-04,160.0,0.042562422916518385,20.70006035003018,0.23,0.25,1895.0,21.81830124936408,21.06196646617149,2026-09-04,160.0,0.042562422916518385,20.70006035003018,0.23,0.25,1895.0,21.81830124936408,21.06196646617149
2026-09-01,GME,False,near-front earnings flag,False,60.88,5.9523809523809526,88.4920634920635,92.46031746031746,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02,AVGO,False,IVR outside 30–70; more than 5% below 20-day high,False,22.03,3.5714285714285716,91.66666666666667,98.01587301587301,True,6,16,16,2026-09-09,450.0,0.04119787977298086,22.315846697472153,0.68,0.85,60.0,5.671413809964698,3.947596114503915,2026-09-09,440.0,0.06192371283088814,19.597716770861663,1.09,1.16,402.0,4.405917968758333,3.88976492874451,2026-09-11,455.0,0.03875074459623167,23.674911660777397,0.72,0.81,264.0,5.5909923664797745,4.79487450467333
2026-09-03,GME,False,near-front earnings flag,False,54.87,7.5396825396825395,93.25396825396825,94.44444444444444,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03,LVS,False,IVR outside 30–70; more than 5% below 20-day high,False,0.29,6.746031746031746,93.25396825396825,78.96825396825396,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
